flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual
1395691019,On Time,517,CTS,null,99,JAL,359,13:30,13:39,15:05,15:18
1395705713,Delayed,283,TKS,null,66,ANA,738,13:30,14:17,14:45,15:23
1395706284,On Time,991,KIX,null,81,ANA,32N,13:40,13:38,15:05,14:59
1395690923,On Time,375,KKJ,null,88,JAL,738,13:40,13:42,15:10,15:10
1395706059,On Time,679,HIJ,null,75,ANA,762,13:45,13:51,15:05,15:06
1395656005,On Time,15,FUK,null,105,Skymark Airlines,738,13:45,13:46,15:40,15:31
1395690881,On Time,321,FUK,null,97,JAL,359,13:45,13:45,15:30,15:22
1395635323,On Time,23,OKA,null,155,Solaseed Air,738,13:45,13:45,16:25,16:20
1395684493,On Time,25,CTS,null,101,Air Do,73G,13:50,13:48,15:25,15:29
1395691107,On Time,577,OBO,null,94,JAL,738,13:50,13:52,15:25,15:26
1395705979,On Time,625,KOJ,null,92,ANA,78J,13:55,13:54,15:35,15:26
1395691368,On Time,917,OKA,null,141,JAL,359,13:55,14:01,16:25,16:22
1395706067,On Time,67,CTS,null,97,ANA,772,14:00,14:10,15:35,15:47
1395705799,Delayed,405,AXT,null,61,ANA,738,14:00,14:19,15:05,15:20
1395705698,On Time,27,ITM,null,65,ANA,762,14:00,14:01,15:05,15:06
1395657841,On Time,182,PEK,null,224,Air China,333,14:00,14:20,17:00,17:04
1395705930,Delayed,565,KCZ,null,71,ANA,32N,14:05,14:37,15:25,15:48
1395635639,On Time,81,KKJ,null,97,StarFlyer,320,14:05,14:02,15:45,15:39
1395656114,On Time,717,CTS,null,96,Skymark Airlines,738,14:05,14:03,15:40,15:39
1395691053,On Time,555,AKJ,null,90,JAL,763,14:05,14:17,15:40,15:47
1395691027,On Time,495,KCZ,null,72,JAL,738,14:05,14:10,15:20,15:22
1395691157,On Time,649,KOJ,null,97,JAL,763,14:15,14:28,15:55,16:05
1395691198,On Time,693,KMI,null,94,JAL,E90,14:15,14:24,15:50,15:58
1395705965,On Time,593,MYJ,null,84,ANA,762,14:20,14:20,15:45,15:44
1395690718,On Time,263,HIJ,null,75,JAL,738,14:20,14:20,15:40,15:35
1395705689,On Time,257,FUK,null,98,ANA,772,14:25,14:32,16:10,16:10
1395691013,Delayed,519,CTS,null,104,JAL,359,14:25,14:32,16:00,16:16
1395705463,Delayed,1103,CTS,null,97,ANA,788,14:25,15:12,16:00,16:49
1395690647,On Time,121,ITM,null,55,JAL,788,14:30,14:51,15:35,15:46
1395690763,Delayed,237,OKJ,null,100,JAL,738,14:30,14:38,15:45,16:18
1395635322,On Time,59,KMI,null,94,Solaseed Air,738,14:30,14:30,16:10,16:04
1395659583,On Time,221,TSA,null,182,China Airlines,333,14:30,14:23,16:55,16:25
1395703090,Delayed,538,SHA,null,181,China Eastern Airlines,333,14:30,14:53,16:35,16:54
1395656117,On Time,719,CTS,null,95,Skymark Airlines,738,14:35,14:36,16:10,16:13
1395684478,On Time,59,HKD,null,75,Air Do,762,14:40,14:47,16:00,16:02
1395691172,On Time,633,KMJ,null,97,JAL,763,14:40,14:39,16:20,16:16
1395635358,On Time,95,OIT,null,82,Solaseed Air,738,14:40,14:50,16:15,16:12
1395705827,Delayed,475,OKA,null,145,ANA,772,14:45,15:12,17:20,17:37
1395690301,On Time,165,AXT,null,67,JAL,E90,14:50,14:54,15:55,16:01
1395705730,On Time,31,ITM,null,61,ANA,738,14:50,14:50,15:55,15:51
1395690272,Delayed,125,ITM,null,78,JAL,788,14:50,14:54,15:55,16:12
1395691376,On Time,973,ISG,null,161,JAL,763,14:50,14:55,17:35,17:36
1395690882,Delayed,283,IZO,null,74,JAL,763,14:55,15:36,16:15,16:50
1395690696,On Time,157,MSJ,null,79,JAL,E90,14:55,14:53,16:10,16:12
1395711298,On Time,421,MNL,null,268,Philippine Airlines,321,14:55,15:04,18:50,18:32
1395706019,Delayed,645,KMJ,null,99,ANA,32Q,14:55,15:17,16:35,16:56
1395705668,On Time,259,FUK,null,102,ANA,788,15:00,15:20,16:50,17:02
1395706066,Delayed,69,CTS,null,98,ANA,789,15:00,15:38,16:35,17:16
1395705439,On Time,1083,NGS,null,102,ANA,762,15:00,15:10,16:50,16:52
1395691226,On Time,667,OIT,null,87,JAL,738,15:00,15:02,16:30,16:29
1395706051,Delayed,681,HIJ,null,71,ANA,738,15:00,15:30,16:20,16:41
1395635361,On Time,77,KOJ,null,99,Solaseed Air,738,15:05,15:00,16:50,16:39
1395656043,On Time,19,FUK,null,108,Skymark Airlines,738,15:05,15:03,17:00,16:51
1395690987,On Time,483,TAK,null,76,JAL,738,15:10,15:16,16:25,16:32
1395691371,Delayed,919,OKA,null,147,JAL,359,15:10,15:36,17:40,18:03
1395705749,Delayed,385,YGJ,null,82,ANA,32Q,15:10,15:47,16:30,17:09
1395635680,On Time,25,KIX,null,75,StarFlyer,32N,15:15,15:16,16:40,16:31
1395666487,Delayed,294,ATL,null,774,Delta Air Lines,359,15:15,17:24,15:05,17:18
1395690661,On Time,323,FUK,null,101,JAL,763,15:25,15:28,17:10,17:09
