flightId,finalStatus,flightNumber,arrivalAirportFS,divertedAirport,operatedBy,gate,terminal,flightDuration,carrier,equipment,depTimeScheduled,depTimeActual,arrTimeScheduled,arrTimeActual,timezone
1395017705,On Time,191,TSA,null,null,111,3,177,EVA Air,Boeing 787-10,12:40,12:42,15:05,14:39,-6
1395051502,On Time,293,UBJ,null,Operated by J-Air on behalf of JAL,3,1,97,JAL,Embraer 190,12:45,12:48,14:20,14:25,9
1395051838,On Time,587,HKD,null,null,10,1,98,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,12:45,12:46,14:10,14:24,9
1395017186,On Time,517,OKA,null,null,20,1,163,Skymark Airlines,Boeing 737-800 Passenger,12:50,12:52,15:35,15:35,9
1394996251,On Time,35,NGS,null,null,500,2,105,Solaseed Air,Boeing 737-800 (winglets) Passenger/BBJ2,12:50,12:56,14:40,14:41,9
1395051708,Delayed,459,TKS,null,null,6,1,78,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,12:50,13:03,14:00,14:21,9
1395045878,Delayed,23,CTS,null,null,56,2,107,Air Do,Boeing 767-381(ER) Passenger,12:50,13:07,14:20,14:54,9
1395051870,Delayed,631,KMJ,null,null,9,1,110,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,12:50,12:57,14:30,14:47,9
1395051537,On Time,319,FUK,null,null,13,1,104,JAL,Airbus A350-900,12:55,13:04,14:40,14:48,9
1394996544,On Time,13,UBJ,null,null,84,1,107,StarFlyer,Airbus A320 (sharklets),12:55,13:00,14:35,14:47,9
1395065914,Delayed,721,ONJ,null,null,506,2,78,ANA,Airbus A320neo,12:55,13:04,14:05,14:22,9
1395066120,On Time,997,TAK,null,Operated by ANA Wings on behalf of ANA,60,2,88,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,13:00,13:03,14:20,14:31,9
1395065853,Delayed,65,CTS,null,null,63,2,105,ANA,Boeing 777-300,13:00,14:17,14:35,16:02,9
1395051227,On Time,187,KMQ,null,Operated by Japan TransOcean Air on behalf of JAL,12,1,66,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,13:00,13:00,14:05,14:06,9
1395065530,Delayed,25,ITM,null,Operated by ANA Wings on behalf of ANA,62,2,69,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,13:00,13:13,14:05,14:22,9
1395051141,On Time,10,ORD,null,null,149,3,714,JAL,Boeing 777-300ER,13:00,13:04,11:00,10:58,-5
1395017109,On Time,105,UKB,null,null,19,1,75,Skymark Airlines,Boeing 737-800 (winglets) Passenger/BBJ2,13:00,13:05,14:15,14:17,9
1395016819,Cancelled,6,LHR,null,null,null,3,885,British Airways,Boeing 787-9,13:05,null,19:50,null,BST
1395065679,On Time,453,HSG,null,null,47,2,113,ANA,Airbus A321neo,13:05,13:09,14:55,15:02,9
1394996246,On Time,75,KOJ,null,null,54,2,108,Solaseed Air,Boeing 737-800 (winglets) Passenger/BBJ2,13:05,13:04,14:50,14:52,9
1395065659,On Time,473,OKA,null,null,64,2,142,ANA,Boeing 787-10,13:05,13:24,15:40,15:46,9
1395051761,On Time,481,TAK,null,null,4,1,83,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,13:10,13:13,14:25,14:36,9
1395065765,Delayed,555,HKD,null,null,65,2,96,ANA,Airbus A321neo,13:15,13:31,14:35,15:07,9
1395065545,Delayed,295,TTJ,null,null,null,2,74,ANA,Airbus A321neo,13:15,13:56,14:30,15:10,9
1395051206,On Time,145,AOJ,null,null,8,1,78,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,13:15,13:16,14:30,14:34,9
1394996557,On Time,49,FUK,null,null,2,1,113,StarFlyer,Airbus A320 (sharklets),13:15,13:19,15:10,15:12,9
1395066042,On Time,853,TSA,null,Operated by AirJapan on behalf of ANA,68,2,184,ANA,Boeing 787-8,13:20,13:18,15:50,15:22,-6
1395065839,Delayed,609,KMI,null,null,505,2,89,ANA,Airbus A321 (sharklets),13:20,13:51,15:00,15:20,9
1395065809,On Time,573,WKJ,null,null,507,2,110,ANA,Airbus A321neo,13:20,13:30,15:10,15:20,9
1395065535,On Time,283,TKS,null,Operated by ANA Wings on behalf of ANA,51,2,74,ANA,Boeing 737-800 (winglets) Passenger/BBJ2,13:30,13:33,14:45,14:47,9
1395036740,Cancelled,816,SHA,null,null,113,3,185,Shanghai Airlines,Boeing 787-9,13:30,null,15:35,null,CST
1395051743,On Time,517,CTS,null,null,15,1,102,JAL,Airbus A350-900,13:30,13:36,15:05,15:18,9
1395065537,On Time,255,FUK,null,null,59,2,96,ANA,Boeing 777-200 / 200ER,13:30,13:47,15:15,15:23,9
1395051832,On Time,611,NGS,null,null,5A,1,105,JAL,Boeing 737-800 (winglets) Passenger/BBJ2,13:30,13:41,15:15,15:26,9
